,score_S,score_G2M,Cell Type,Predicted Cell Type for Custom Sparse Model,Predicted Cell Type for Custom Sparse Model (GBM data),Predicted Cell Type,Predicted Cell Type for Custom Sparse Model (GBM data) 
58,-0.187128892293218,-0.197224500694573,Malignant,Malignant,Malignant,Malignant,Malignant
59,0.047693865635606,-0.209997876676101,Malignant,Malignant,Malignant,Malignant,Malignant
60,-0.16233690333389,-0.020009562330202,Malignant,Malignant,Malignant,Malignant,Malignant
61,0.207602086729638,0.477365871604812,Malignant,Malignant,Malignant,Malignant,Malignant
62,-0.016729466839692,0.881524988041085,Malignant,Malignant,Malignant,Malignant,Malignant
63,-0.112437501626892,-0.16614665561758,Malignant,Malignant,Malignant,Malignant,Malignant
64,0.229606201903129,-0.0130372115668966,Malignant,Malignant,Malignant,Malignant,Malignant
65,-0.122500523846593,-0.184416211640866,Malignant,Malignant,Malignant,Malignant,Malignant
66,0.490135955015826,0.0645886103695557,Malignant,Malignant,Malignant,Malignant,Malignant
67,-0.0493247048061498,-0.0676026745552618,Malignant,Malignant,Malignant,Malignant,Malignant
68,-0.167514049609644,-0.185383960840836,Malignant,Malignant,Malignant,Malignant,Malignant
69,-0.152127301779478,-0.165998929501615,Malignant,Malignant,Malignant,Malignant,Malignant
70,-0.244857131121153,-0.180640197175959,Malignant,Malignant,Malignant,Malignant,Malignant
71,-0.155606035317973,0.638810349219597,Malignant,Malignant,Malignant,Malignant,Malignant
72,-0.22549337941049,-0.0039365490405978,Malignant,Malignant,Malignant,Malignant,Malignant
73,-0.0481326668562967,0.387955232523381,Malignant,Malignant,Malignant,Malignant,Malignant
74,-0.144204284352887,-0.121826736882808,Malignant,Malignant,Malignant,Malignant,Malignant
75,-0.0908062495554636,-0.157249490915145,Malignant,Malignant,Malignant,Malignant,Malignant
76,0.056902974674676,-0.0149216317328872,Malignant,Malignant,Malignant,Malignant,Malignant
77,-0.034051444721239,0.464529449384911,Malignant,Malignant,Malignant,Malignant,Malignant
78,0.476561930971094,0.384088149352251,Malignant,Malignant,Malignant,Malignant,Malignant
79,0.434093006501537,0.435374010929724,Malignant,Malignant,Malignant,Malignant,Malignant
80,-0.151299147309703,-0.135500413038137,Malignant,Malignant,Malignant,Malignant,Malignant
81,0.329199286390285,-0.0183412815031443,Malignant,Malignant,Malignant,Malignant,Malignant
82,-0.199878382440504,-0.123863202107862,Malignant,Malignant,Malignant,Malignant,Malignant
83,0.26102443786797,-0.0281566618200055,Malignant,Malignant,Malignant,Malignant,Malignant
84,0.577008326501767,0.302996474237216,Malignant,Malignant,Malignant,Malignant,Malignant
85,0.174726189250781,0.442554113453146,Malignant,Malignant,Malignant,Malignant,Malignant
86,-0.208914337905696,-0.182595850716401,Malignant,Malignant,Malignant,Malignant,Malignant
87,-0.0668948064628038,0.896166281700704,Malignant,Malignant,Malignant,Malignant,Malignant
88,-0.12264193582789,-0.0337207301149194,Malignant,Malignant,Malignant,Malignant,Malignant
89,-0.0531719772064327,-0.156098359722494,Malignant,Malignant,Malignant,Malignant,Malignant
90,0.266917173677596,0.0621724051747114,Malignant,Malignant,Malignant,Malignant,Malignant
91,-0.125819793126023,0.305810246739954,Malignant,Malignant,Malignant,Malignant,Malignant
92,0.476467811776959,0.504458957709063,Malignant,Malignant,Malignant,Malignant,Malignant
93,0.669869944217671,0.20095755736837,Malignant,Malignant,Malignant,Malignant,Malignant
94,-0.0834869697534765,-0.107405925712104,Malignant,Malignant,Malignant,Malignant,Malignant
95,-0.0715168674145978,-0.147044673530136,Malignant,Malignant,Malignant,Malignant,Malignant
96,0.39734530133368,0.459763627488213,Malignant,Malignant,Malignant,Malignant,Malignant
97,-0.0279450434476953,0.309100958847626,Malignant,Malignant,Malignant,Malignant,Malignant
98,0.356925847604988,-0.032733168644053,Malignant,Malignant,Malignant,Malignant,Malignant
99,0.263895614547131,0.73634179686167,Malignant,Malignant,Malignant,Malignant,Malignant
100,-0.0698820415858255,-0.0828859756148949,Malignant,Malignant,Malignant,Malignant,Malignant
101,0.441172457375667,0.425573103879776,Malignant,Malignant,Malignant,Malignant,Malignant
102,0.533943426533078,0.0552155524905201,Malignant,Malignant,Malignant,Malignant,Malignant
103,0.251154155122655,0.894851950885882,Malignant,Malignant,Malignant,Malignant,Malignant
104,-0.0143671424911037,0.954081476644515,Malignant,Malignant,Malignant,Malignant,Malignant
105,-0.0851447095060959,-0.177416873005163,Malignant,Malignant,Malignant,Malignant,Malignant
106,0.770615079409556,-0.0495433755309993,Malignant,Malignant,Malignant,Malignant,Malignant
107,-0.254769591914232,-0.16205205019747,Malignant,Malignant,Malignant,Malignant,Malignant
108,-0.0737799703262164,-0.0947229011686843,Malignant,Malignant,Malignant,Malignant,Malignant
109,0.433815060309642,-0.0693089260956228,Malignant,Malignant,Malignant,Malignant,Malignant
110,-0.0570876576289038,-0.0740932634110258,Malignant,Malignant,Malignant,Malignant,Malignant
111,-0.131880979895104,-0.172817145927331,Malignant,Malignant,Malignant,Malignant,Malignant
112,-0.164892558316129,-0.196733719913254,Malignant,Malignant,Malignant,Malignant,Malignant
113,-0.192482939270165,-0.175253869696317,Malignant,Malignant,Malignant,Malignant,Malignant
114,-0.0660619736175949,-0.13620742167641,Malignant,Malignant,Malignant,Malignant,Malignant
115,-0.161191408094489,-0.0903957702737921,Malignant,Malignant,Malignant,Malignant,Malignant
116,-0.145136034674496,-0.119729854244808,Malignant,Malignant,Malignant,Malignant,Malignant
117,-0.195963385475967,-0.178971697377885,Malignant,Malignant,Malignant,Malignant,Malignant
118,0.587608499313442,0.280630707718285,Malignant,Malignant,Malignant,Malignant,Malignant
119,-0.194202764257167,-0.236049915210321,Malignant,Malignant,Malignant,Malignant,Malignant
120,-0.0933200533372079,-0.153205394133753,Malignant,Malignant,Malignant,Malignant,Malignant
121,-0.0844831644571252,-0.141135833481623,Malignant,Malignant,Malignant,Malignant,Malignant
122,-0.0426959493104733,-0.167470134816611,Malignant,Malignant,Malignant,Malignant,Malignant
123,0.436085979179958,-0.0923814803310044,Malignant,Malignant,Malignant,Malignant,Malignant
124,-0.17201309555866,-0.171578521777951,Malignant,Malignant,Malignant,Malignant,Malignant
125,-0.0504743494134895,-0.169632775358774,Malignant,Malignant,Malignant,Malignant,Malignant
126,0.638370995200391,0.422724123030832,Malignant,Malignant,Malignant,Malignant,Malignant
127,-0.0705395442881647,-0.140761935351882,Malignant,Malignant,Malignant,Malignant,Malignant
128,-0.172359760445937,-0.231904199190655,Malignant,Malignant,Malignant,Malignant,Malignant
129,-0.141917117191581,-0.194131059515179,Malignant,Malignant,Malignant,Malignant,Malignant
130,0.27142030595631,-0.145033950659879,Malignant,Malignant,Malignant,Malignant,Malignant
131,-0.0909007908626093,-0.141845774741423,Malignant,Malignant,Malignant,Malignant,Malignant
132,0.460590990965791,0.0689651802977137,Malignant,Malignant,Malignant,Malignant,Malignant
133,-0.043756975385516,-0.0333221568354042,Malignant,Malignant,Malignant,Malignant,Malignant
134,-0.148095844631779,-0.208504866928547,Malignant,Malignant,Malignant,Malignant,Malignant
135,-0.0407753378339802,-0.259683698298588,Malignant,Malignant,Malignant,Malignant,Malignant
136,-0.277893764687942,-0.199779095231339,Malignant,Malignant,Malignant,Malignant,Malignant
137,-0.0421685520474109,-0.123582039103149,Malignant,Malignant,Malignant,Malignant,Malignant
138,-0.08019095368456,-0.175550610922901,Malignant,Malignant,Malignant,Malignant,Malignant
139,-0.195006194709798,-0.239793445864654,Malignant,Malignant,Malignant,Malignant,Malignant
140,0.378872822635251,0.0232894369376408,Malignant,Malignant,Malignant,Malignant,Malignant
141,0.455774601120907,0.440479587711814,Malignant,Malignant,Malignant,Malignant,Malignant
142,0.0041306858686496,-0.11890929038168,Malignant,Malignant,Malignant,Malignant,Malignant
143,-0.109536470520351,-0.108475611799559,Malignant,Malignant,Malignant,Malignant,Malignant
144,-0.107374372778307,-0.108239415561794,Malignant,Malignant,Malignant,Malignant,Malignant
145,-0.200042320293377,-0.141608118543279,Malignant,Malignant,Malignant,Malignant,Malignant
146,0.654125430147217,0.481817007352546,Malignant,Malignant,Malignant,Malignant,Malignant
147,0.011261805283553,-0.131507172363453,Malignant,Malignant,Malignant,Malignant,Malignant
148,-0.101192676692332,-0.0667594700618692,Malignant,Malignant,Malignant,Malignant,Malignant
149,0.401130982003829,0.0579972380014211,Malignant,Malignant,Malignant,Malignant,Malignant
150,-0.23617332519062,-0.177298585188813,Malignant,Malignant,Malignant,Malignant,Malignant
151,-0.05733707509979,0.575001641259775,Malignant,Malignant,Malignant,Malignant,Malignant
152,-0.0668276787947228,-0.180200610047248,Malignant,Malignant,Malignant,Malignant,Malignant
153,0.115156420813332,-0.16066783135584,Malignant,Malignant,Malignant,Malignant,Malignant
154,0.311207113151524,-0.0832075319918547,Malignant,Malignant,Malignant,Malignant,Malignant
155,-0.173778410430479,-0.0461224405604873,Malignant,Malignant,Malignant,Malignant,Malignant
156,-0.188850873985663,-0.161464018224651,Malignant,Malignant,Malignant,Malignant,Malignant
157,-0.180037769277861,-0.219071160411878,Malignant,Malignant,Malignant,Malignant,Malignant
158,0.184351161062568,-0.0751578274014165,Malignant,Malignant,Malignant,Malignant,Malignant
159,-0.143814466753113,-0.214235516208967,Malignant,Malignant,Malignant,Malignant,Malignant
160,-0.222055733190091,-0.104421775904137,Malignant,Malignant,Malignant,Malignant,Malignant
161,-0.125216200124679,-0.0862805664877645,Malignant,Malignant,Malignant,Malignant,Malignant
162,-0.135946560977417,-0.114534029330113,Malignant,Malignant,Malignant,Malignant,Malignant
163,-0.0509961894656241,-0.143310853411964,Malignant,Malignant,Malignant,Malignant,Malignant
164,-0.192982079596363,-0.129309554168338,Malignant,Malignant,Malignant,Malignant,Malignant
165,-0.116542680142422,-0.123930275153897,Malignant,Malignant,Malignant,Malignant,Malignant
166,-0.073310274124828,-0.283972473301374,Malignant,Malignant,Malignant,Malignant,Malignant
167,-0.0479870588497883,-0.250521349769683,Malignant,Malignant,Malignant,Malignant,Malignant
168,-0.08205794513716,-0.157716903097668,Malignant,Malignant,Malignant,Malignant,Malignant
169,-0.0223801701496615,-0.0707219880925171,Malignant,Malignant,Malignant,Malignant,Malignant
170,0.26702002447749,-0.112052600711427,Malignant,Malignant,Malignant,Malignant,Malignant
171,0.565956512983311,-0.0359088139933313,Malignant,Malignant,Malignant,Malignant,Malignant
172,0.579883876597019,0.132312285555609,Malignant,Malignant,Malignant,Malignant,Malignant
173,0.338512066362929,-0.0999320765584394,Malignant,Malignant,Malignant,Malignant,Malignant
174,-0.0791804575841087,-0.131392895205016,Malignant,Malignant,Malignant,Malignant,Malignant
175,0.242073461329863,0.286634448231438,Malignant,Malignant,Malignant,Malignant,Malignant
176,-0.211585488424438,-0.121857902935038,Malignant,Malignant,Malignant,Malignant,Malignant
177,0.59219909249077,0.104855025027797,Malignant,Malignant,Malignant,Malignant,Malignant
178,-0.0912877151395466,-0.102662153233273,Malignant,Malignant,Malignant,Malignant,Malignant
179,-0.182348362175862,-0.174512511069398,Malignant,Malignant,Malignant,Malignant,Malignant
180,-0.150150090782391,-0.184976041861109,Malignant,Malignant,Malignant,Malignant,Malignant
181,0.0362790435677141,-0.169696194638589,Malignant,Malignant,Malignant,Malignant,Malignant
182,-0.124216678403029,-0.115683264178053,Malignant,Malignant,Malignant,Malignant,Malignant
183,-0.306478805583403,-0.121126026226747,Malignant,Malignant,Malignant,Malignant,Malignant
184,-0.0187549585420199,-0.0852705078898584,Malignant,Malignant,Malignant,Malignant,Malignant
185,-0.127066616512287,-0.158311359810843,Malignant,Malignant,Malignant,Malignant,Malignant
186,-0.156256742513853,-0.0966553091469172,Malignant,Malignant,Malignant,Malignant,Malignant
187,0.195878244907808,-0.0216243902017111,Malignant,Malignant,Malignant,Malignant,Malignant
188,-0.118730282490623,-0.121986386027879,Malignant,Malignant,Malignant,Malignant,Malignant
189,-0.13396763364845,-0.129967584063615,Malignant,Malignant,Malignant,Malignant,Malignant
190,-0.103064287819314,-0.170531722865347,Malignant,Malignant,Malignant,Malignant,Malignant
191,-0.221448098629711,-0.148208430609473,Malignant,Malignant,Malignant,Malignant,Malignant
192,0.0802108898933505,0.698639045549201,Malignant,Malignant,Malignant,Malignant,Malignant
193,0.025837619753322,-0.112946101343083,Malignant,Malignant,Malignant,Malignant,Malignant
194,-0.197250501460811,-0.154103859856886,Malignant,Malignant,Malignant,Malignant,Malignant
195,-0.209656001977266,-0.115874056152308,Malignant,Malignant,Malignant,Malignant,Malignant
196,0.679118017915227,0.214018932294675,Malignant,Malignant,Malignant,Malignant,Malignant
197,-0.0706609857758642,-0.241698994539611,Malignant,Malignant,Malignant,Malignant,Malignant
198,-0.0723841340230416,-0.189821659218799,Malignant,Malignant,Malignant,Malignant,Malignant
199,0.558823829081587,0.369718992126905,Malignant,Malignant,Malignant,Malignant,Malignant
200,0.0020078575871298,-0.214820645468152,Malignant,Malignant,Malignant,Malignant,Malignant
201,0.0059587277465971,-0.0330413001117585,Malignant,Malignant,Malignant,Malignant,Malignant
202,-0.167445374672803,-0.175874695843266,Malignant,Malignant,Malignant,Malignant,Malignant
203,-0.142874928521874,-0.0975853260554955,Malignant,Malignant,Malignant,Malignant,Malignant
204,-0.203575427469188,-0.136450774933175,Malignant,Malignant,Malignant,Malignant,Malignant
205,-0.146112443385083,-0.161263229956149,Malignant,Malignant,Malignant,Malignant,Malignant
206,-0.0340495307083693,-0.172572264727321,Malignant,Malignant,Malignant,Malignant,Malignant
207,-0.268251523759302,-0.245302943082631,Malignant,Malignant,Malignant,Malignant,Malignant
208,-0.103907907685619,-0.132818243188943,Malignant,Malignant,Malignant,Malignant,Malignant
209,-0.169119917727072,-0.17730992875458,Malignant,Malignant,Malignant,Malignant,Malignant
210,-0.124226735374155,-0.195029288621939,Malignant,Malignant,Malignant,Malignant,Malignant
211,-0.0986148653531141,-0.113509118096178,Malignant,Malignant,Malignant,Malignant,Malignant
212,-0.006425552403144,-0.206337096002225,Malignant,Malignant,Malignant,Malignant,Malignant
213,-0.191985071397298,-0.18220301330381,Malignant,Malignant,Malignant,Malignant,Malignant
214,-0.142518403869796,-0.164227575109947,Malignant,Malignant,Malignant,Malignant,Malignant
215,0.0791171422403291,-0.191825928405615,Malignant,Malignant,Malignant,Malignant,Malignant
216,-0.11775699241534,-0.188583806143111,Malignant,Malignant,Malignant,Malignant,Malignant
217,-0.223991160355292,-0.0708318974259995,Malignant,Malignant,Malignant,Malignant,Malignant
218,-0.213174310869846,-0.220041954586082,Malignant,Malignant,Malignant,Malignant,Malignant
219,0.552974842590792,0.129964363257111,Malignant,Malignant,Malignant,Malignant,Malignant
220,-0.120263090372337,-0.205461229649774,Malignant,Malignant,Malignant,Malignant,Malignant
221,0.581124543330344,0.453245317172325,Malignant,Malignant,Malignant,Malignant,Malignant
222,-0.0499520474198881,-0.0622518550953921,Malignant,Malignant,Malignant,Malignant,Malignant
223,0.30339204639179,-0.0581266266940454,Malignant,Malignant,Malignant,Malignant,Malignant
224,0.0567479077117132,-0.168967612492115,Malignant,Malignant,Malignant,Malignant,Malignant
225,0.100294839517672,-0.0816485140177383,Malignant,Malignant,Malignant,Malignant,Malignant
226,0.226323434178156,0.87952190034878,Malignant,Malignant,Malignant,Malignant,Malignant
227,0.488941250704192,0.131863734540546,Malignant,Malignant,Malignant,Malignant,Malignant
228,-0.172048237196126,-0.0084311164137577,Malignant,Malignant,Malignant,Malignant,Malignant
229,0.0322031025781402,-0.217525717749106,Malignant,Malignant,Malignant,Malignant,Malignant
230,-0.292904812646193,-0.170344437448688,Malignant,Malignant,Malignant,Malignant,Malignant
231,0.412519007297346,0.0880823363666263,Malignant,Malignant,Malignant,Malignant,Malignant
232,0.580197501369442,0.389686018547531,Malignant,Malignant,Malignant,Malignant,Malignant
233,-0.0451581904220505,0.329341281175573,Malignant,Malignant,Malignant,Malignant,Malignant
234,0.471885490481136,0.121098202671914,Malignant,Malignant,Malignant,Malignant,Malignant
235,-0.204548686848984,-0.158658794516687,Malignant,Malignant,Malignant,Malignant,Malignant
236,0.491858108141685,0.0520188381641334,Malignant,Malignant,Malignant,Malignant,Malignant
237,-0.17228707023504,-0.164390529675161,Malignant,Malignant,Malignant,Malignant,Malignant
238,-0.236724469391208,-0.125129409855439,Malignant,Malignant,Malignant,Malignant,Malignant
239,0.377501581154332,-0.0800609271924224,Malignant,Malignant,Malignant,Malignant,Malignant
240,0.0165574957713028,0.869670729928525,Malignant,Malignant,Malignant,Malignant,Malignant
241,-0.0968861345887789,-0.0650712217023944,Malignant,Malignant,Malignant,Malignant,Malignant
242,0.572891616144947,0.331113318003085,Malignant,Malignant,Malignant,Malignant,Malignant
243,-0.201152235410373,-0.184962135570181,Malignant,Malignant,Malignant,Malignant,Malignant
244,-0.177349282332296,-0.144137958611766,Malignant,Malignant,Malignant,Malignant,Malignant
245,0.616890680736093,0.392000723624453,Malignant,Malignant,Malignant,Malignant,Malignant
246,0.239259059960823,0.634749842918467,Malignant,Malignant,Malignant,Malignant,Malignant
247,0.0202925462605287,-0.137673333140526,Malignant,Malignant,Malignant,Malignant,Malignant
248,-0.200384646725322,-0.218756318994066,Malignant,Malignant,Malignant,Malignant,Malignant
249,-0.226811151918748,-0.16106450229933,Malignant,Malignant,Malignant,Malignant,Malignant
250,-0.209662514882695,-0.139328041343375,Malignant,Malignant,Malignant,Malignant,Malignant
251,-0.208817935141342,-0.160148782068919,Malignant,Malignant,Malignant,Malignant,Malignant
252,-0.182183728811291,-0.19170653572359,Malignant,Malignant,Malignant,Malignant,Malignant
253,-0.153244121293118,-0.18261885164567,Malignant,Malignant,Malignant,Malignant,Malignant
254,-0.219745788915835,-0.153291825512741,Malignant,Malignant,Malignant,Malignant,Malignant
255,0.707600358820882,0.531415183570326,Malignant,Malignant,Malignant,Malignant,Malignant
256,-0.276047141694536,-0.0449998495519934,Malignant,Malignant,Malignant,Malignant,Malignant
257,-0.0853126600060406,0.426246734796496,Malignant,Malignant,Malignant,Malignant,Malignant
258,-0.0808808282008794,-0.0954814641384584,Malignant,Malignant,Malignant,Malignant,Malignant
259,-0.0636975180602126,0.0422318363741391,Malignant,Malignant,Malignant,Malignant,Malignant
260,-0.165861072929054,-0.107928806898367,Malignant,Malignant,Malignant,Malignant,Malignant
261,-0.0361104762092402,-0.0401528541221106,Malignant,Malignant,Malignant,Malignant,Malignant
262,-0.0184651365439782,-0.163659439584514,Malignant,Malignant,Malignant,Malignant,Malignant
263,-0.167938984739627,-0.0807061856512244,Malignant,Malignant,Malignant,Malignant,Malignant
264,-0.155250833752166,-0.105045554139806,Malignant,Malignant,Malignant,Malignant,Malignant
265,-0.0502017372013892,-0.0655426524601021,Malignant,Malignant,Malignant,Malignant,Malignant
266,-0.131473037610089,-0.10907542379579,Malignant,Malignant,Malignant,Malignant,Malignant
267,-0.0390158677794304,-0.0893150790486019,Malignant,Malignant,Malignant,Malignant,Malignant
268,-0.0259431582469007,-0.143656534190635,Malignant,Malignant,Malignant,Malignant,Malignant
269,-0.1746517789616,-0.0554334048344605,Malignant,Malignant,Malignant,Malignant,Malignant
270,0.0411564519280793,-0.0747742735929277,Malignant,Malignant,Malignant,Malignant,Malignant
271,-0.152945117535428,-0.0301891734820346,Malignant,Malignant,Malignant,Malignant,Malignant
272,-0.0735993799619354,-0.106384536079253,Malignant,Malignant,Malignant,Malignant,Malignant
273,-0.160084349688701,-0.129589311238356,Malignant,Malignant,Malignant,Malignant,Malignant
274,0.690150353641146,0.513893961107994,Malignant,Malignant,Malignant,Malignant,Malignant
275,-0.14364819193854,-0.115199040859647,Malignant,Malignant,Malignant,Malignant,Malignant
276,-0.0863325603057267,0.0344094728818285,Malignant,Malignant,Malignant,Malignant,Malignant
277,-0.083923723003302,-0.10476599198001,Malignant,Malignant,Malignant,Malignant,Malignant
278,-0.0690838784584212,-0.111984218575645,Malignant,Malignant,Malignant,Malignant,Malignant
279,-0.148640219075743,-0.0932786761655763,Malignant,Malignant,Malignant,Malignant,Malignant
280,-0.161448846711732,-0.0529469778154928,Malignant,Malignant,Malignant,Malignant,Malignant
281,-0.101466595741055,-0.112025721891238,Malignant,Malignant,Malignant,Malignant,Malignant
282,0.0374159447434762,-0.0417115791581829,Malignant,Malignant,Malignant,Malignant,Malignant
283,0.539918324820223,0.693350488168717,Malignant,Malignant,Malignant,Malignant,Malignant
284,-0.0098577409532661,-0.0669458030472206,Malignant,Malignant,Malignant,Malignant,Malignant
285,-0.0794174874721991,-0.0850201301803216,Malignant,Malignant,Malignant,Malignant,Malignant
286,-0.0914441917761729,-0.0958869760986224,Malignant,Malignant,Malignant,Malignant,Malignant
287,-0.155771600582136,-0.135455797897067,Malignant,Malignant,Malignant,Malignant,Malignant
288,-0.0100004211124592,-0.0388833067478696,Malignant,Malignant,Malignant,Malignant,Malignant
289,-0.153585524006516,-0.0935486936102073,Malignant,Malignant,Malignant,Malignant,Malignant
290,0.13909952185419,-0.0482543214058052,Malignant,Malignant,Malignant,Malignant,Malignant
291,-0.194491947402396,0.0539667517009141,Malignant,Malignant,Malignant,Malignant,Malignant
292,-0.0549456176751121,0.0941489546676761,Malignant,Malignant,Malignant,Malignant,Malignant
293,0.250775239645607,-0.080663311179365,Malignant,Malignant,Malignant,Malignant,Malignant
294,-0.0701498791553413,0.712192757262342,Malignant,Malignant,Malignant,Malignant,Malignant
295,-0.158666611652975,-0.143696258286627,Malignant,Malignant,Malignant,Malignant,Malignant
296,0.0477563905326614,0.0812908267181258,Malignant,Malignant,Malignant,Malignant,Malignant
297,-0.0423800938244082,-0.117120800590716,Malignant,Malignant,Malignant,Malignant,Malignant
298,-0.0692874244090739,0.0192223673574569,Malignant,Malignant,Malignant,Malignant,Malignant
299,-0.181354969114627,-0.0719629840113462,Malignant,Malignant,Malignant,Malignant,Malignant
300,-0.105850162331843,-0.0581076109811549,Malignant,Malignant,Malignant,Malignant,Malignant
301,0.617416206068179,0.462893129298186,Malignant,Malignant,Malignant,Malignant,Malignant
302,-0.138078209072474,-0.108425738387056,Malignant,Malignant,Malignant,Malignant,Malignant
303,-0.0273492083258942,-0.124480210217386,Malignant,Malignant,Malignant,Malignant,Malignant
304,-0.0601677961789159,0.219557819523573,Malignant,Malignant,Malignant,Malignant,Malignant
305,0.272618954941921,-0.156670221535943,Malignant,Malignant,Malignant,Malignant,Malignant
306,-0.104536408238154,-0.194337733093924,Malignant,Malignant,Malignant,Malignant,Malignant
