ID	Cell_Type
HP1502401	0
HP1502401	0
HP1504101T2D	2
HP1502401	5
HP1502401	8
HP1502401	0
HP1502401	5
HP1504101T2D	8
HP1502401	2
HP1502401	2
HP1504101T2D	8
HP1504101T2D	0
HP1502401	2
HP1502401	7
HP1504101T2D	8
HP1504101T2D	0
HP1504101T2D	0
HP1504101T2D	8
HP1502401	0
HP1502401	0
HP1502401	5
HP1502401	5
HP1504101T2D	0
HP1504101T2D	0
HP1504101T2D	8
HP1502401	11
HP1504101T2D	8
HP1502401	5
HP1504101T2D	2
HP1504101T2D	0
HP1502401	14
HP1504101T2D	8
HP1504101T2D	0
HP1502401	5
HP1502401	7
HP1502401	0
HP1504101T2D	8
HP1504101T2D	0
HP1502401	0
HP1504101T2D	0
HP1502401	0
HP1502401	7
HP1502401	5
HP1504101T2D	0
HP1502401	11
HP1504101T2D	0
HP1502401	14
HP1502401	11
HP1504101T2D	7
HP1502401	5
HP1502401	7
HP1502401	7
HP1504101T2D	0
HP1502401	11
HP1502401	0
HP1502401	11
HP1502401	11
HP1504101T2D	8
HP1504101T2D	8
HP1504101T2D	5
HP1502401	5
HP1502401	14
HP1502401	0
HP1504101T2D	0
HP1504101T2D	8
HP1504101T2D	0
HP1502401	2
HP1504101T2D	2
HP1504101T2D	0
HP1504101T2D	8
HP1502401	5
HP1504101T2D	11
HP1502401	7
HP1502401	7
HP1502401	11
HP1502401	14
HP1504101T2D	0
HP1504101T2D	8
HP1504101T2D	0
HP1504101T2D	0
HP1504101T2D	2
HP1504101T2D	8
HP1502401	0
HP1502401	7
HP1504101T2D	8
HP1504101T2D	8
HP1504101T2D	8
HP1502401	0
HP1504101T2D	0
HP1502401	0
HP1502401	7
HP1502401	2
HP1502401	0
HP1504101T2D	0
HP1502401	7
HP1504101T2D	0
HP1504101T2D	8
HP1504101T2D	0
HP1504101T2D	7
HP1502401	14
HP1502401	7
HP1502401	0
HP1504101T2D	0
HP1502401	5
HP1504101T2D	7
HP1504101T2D	8
HP1504101T2D	0
HP1502401	5
HP1502401	7
HP1504101T2D	0
HP1504101T2D	7
HP1504101T2D	0
HP1502401	5
HP1502401	11
HP1504101T2D	8
HP1504101T2D	8
HP1504101T2D	0
HP1504101T2D	0
HP1502401	7
HP1502401	2
HP1504101T2D	0
HP1502401	0
HP1504101T2D	0
HP1504101T2D	8
HP1502401	8
HP1504101T2D	8
HP1504101T2D	0
HP1504101T2D	0
HP1504101T2D	0
HP1504101T2D	0
HP1504101T2D	11
HP1502401	7
HP1504101T2D	0
HP1502401	7
HP1504101T2D	0
HP1504101T2D	0
HP1504101T2D	0
HP1502401	7
HP1504101T2D	0
HP1502401	7
HP1504101T2D	0
HP1504101T2D	0
HP1504101T2D	7
HP1504101T2D	8
HP1502401	2
HP1502401	7
HP1502401	0
HP1502401	8
HP1504101T2D	0
HP1502401	0
HP1504101T2D	0
HP1504101T2D	0
HP1504101T2D	0
HP1504101T2D	0
HP1504101T2D	0
HP1502401	2
HP1504101T2D	8
HP1504101T2D	0
HP1504101T2D	0
HP1502401	5
HP1504101T2D	2
HP1502401	13
HP1504101T2D	8
HP1502401	0
HP1504101T2D	0
HP1502401	7
HP1504101T2D	0
HP1502401	5
HP1502401	14
HP1504101T2D	8
HP1504101T2D	8
HP1504101T2D	0
HP1502401	0
HP1502401	1
HP1502401	0
HP1504101T2D	8
HP1502401	5
HP1502401	14
HP1502401	2
HP1504101T2D	0
HP1504101T2D	0
HP1502401	1
HP1502401	0
HP1504101T2D	0
HP1504101T2D	0
HP1504101T2D	8
HP1502401	5
HP1502401	2
HP1502401	7
HP1504101T2D	8
HP1502401	4
HP1504101T2D	8
HP1502401	7
HP1502401	7
HP1502401	5
HP1502401	2
HP1504101T2D	8
HP1502401	7
HP1504101T2D	8
HP1502401	7
HP1502401	7
HP1502401	2
HP1502401	5
HP1504101T2D	0
HP1502401	7
HP1504101T2D	0
HP1504101T2D	8
HP1502401	7
HP1502401	5
HP1504101T2D	8
HP1504101T2D	0
HP1504101T2D	8
HP1502401	0
HP1504101T2D	8
HP1502401	5
HP1502401	5
HP1502401	13
HP1502401	7
HP1504101T2D	0
HP1504101T2D	0
HP1504101T2D	8
HP1504101T2D	8
HP1502401	5
HP1504101T2D	0
HP1504101T2D	8
HP1502401	14
HP1504101T2D	1
HP1504101T2D	0
HP1502401	11
HP1504101T2D	8
HP1504101T2D	0
HP1504101T2D	0
HP1502401	0
HP1502401	2
HP1504101T2D	0
HP1504101T2D	0
HP1502401	5
HP1504101T2D	8
HP1502401	7
HP1504101T2D	4
HP1504101T2D	8
HP1504101T2D	8
AZ	11
AZ	5
AZ	5
AZ	11
AZ	11
AZ	7
AZ	7
AZ	2
AZ	7
AZ	7
AZ	0
AZ	7
AZ	5
AZ	0
AZ	5
AZ	0
AZ	0
AZ	2
AZ	8
AZ	2
AZ	0
AZ	5
AZ	7
AZ	5
AZ	0
AZ	7
AZ	5
AZ	5
AZ	7
AZ	7
AZ	5
AZ	7
AZ	5
AZ	11
AZ	11
AZ	7
AZ	0
AZ	2
AZ	2
AZ	13
AZ	8
AZ	7
AZ	7
AZ	11
AZ	11
AZ	5
AZ	11
AZ	5
AZ	11
AZ	0
AZ	11
AZ	7
AZ	0
AZ	5
AZ	0
AZ	7
AZ	0
AZ	7
AZ	0
AZ	4
AZ	5
AZ	0
AZ	5
AZ	7
HP1508501T2D	0
HP1508501T2D	7
HP1508501T2D	6
HP1508501T2D	13
HP1508501T2D	1
HP1508501T2D	1
HP1508501T2D	1
HP1508501T2D	6
HP1508501T2D	6
HP1508501T2D	6
HP1508501T2D	3
HP1508501T2D	6
HP1508501T2D	6
HP1508501T2D	0
HP1508501T2D	1
HP1508501T2D	1
HP1508501T2D	7
HP1508501T2D	6
HP1508501T2D	1
HP1508501T2D	1
HP1508501T2D	0
HP1508501T2D	0
HP1508501T2D	8
HP1508501T2D	6
HP1508501T2D	0
HP1508501T2D	1
HP1508501T2D	0
HP1508501T2D	13
HP1508501T2D	0
HP1508501T2D	0
HP1508501T2D	6
HP1508501T2D	9
HP1508501T2D	6
HP1508501T2D	0
HP1508501T2D	0
HP1508501T2D	0
HP1508501T2D	0
HP1508501T2D	1
HP1508501T2D	0
HP1508501T2D	2
HP1508501T2D	6
HP1508501T2D	14
HP1508501T2D	0
HP1508501T2D	7
HP1508501T2D	6
HP1508501T2D	5
HP1508501T2D	0
HP1508501T2D	6
HP1508501T2D	6
HP1508501T2D	6
HP1508501T2D	13
HP1508501T2D	8
HP1508501T2D	0
HP1508501T2D	2
HP1508501T2D	6
HP1508501T2D	0
HP1508501T2D	13
HP1508501T2D	7
HP1508501T2D	1
HP1508501T2D	5
HP1508501T2D	7
HP1508501T2D	6
HP1508501T2D	1
HP1508501T2D	1
HP1508501T2D	0
HP1508501T2D	6
HP1508501T2D	6
HP1508501T2D	6
HP1508501T2D	6
HP1508501T2D	1
HP1508501T2D	6
HP1508501T2D	2
HP1508501T2D	5
HP1508501T2D	1
HP1508501T2D	1
HP1508501T2D	1
HP1508501T2D	1
HP1508501T2D	1
HP1508501T2D	1
HP1508501T2D	1
HP1508501T2D	1
HP1508501T2D	6
HP1508501T2D	0
HP1508501T2D	5
HP1508501T2D	13
HP1508501T2D	2
HP1508501T2D	0
HP1508501T2D	1
HP1508501T2D	6
HP1508501T2D	0
HP1508501T2D	6
HP1508501T2D	0
HP1508501T2D	14
HP1508501T2D	1
HP1508501T2D	7
HP1508501T2D	2
HP1508501T2D	6
HP1508501T2D	2
HP1508501T2D	0
HP1508501T2D	0
HP1508501T2D	8
HP1508501T2D	0
HP1508501T2D	0
HP1508501T2D	6
HP1508501T2D	13
HP1508501T2D	0
HP1508501T2D	14
HP1508501T2D	1
HP1508501T2D	6
HP1508501T2D	2
HP1508501T2D	1
HP1508501T2D	6
HP1508501T2D	2
HP1508501T2D	7
HP1508501T2D	6
HP1508501T2D	6
HP1508501T2D	6
HP1508501T2D	6
HP1508501T2D	11
HP1508501T2D	0
HP1508501T2D	6
HP1508501T2D	2
HP1508501T2D	8
HP1508501T2D	13
HP1508501T2D	1
HP1508501T2D	0
HP1508501T2D	6
HP1508501T2D	7
HP1508501T2D	0
HP1508501T2D	8
HP1508501T2D	1
HP1508501T2D	0
HP1508501T2D	6
HP1508501T2D	1
HP1508501T2D	1
HP1508501T2D	8
HP1508501T2D	6
HP1508501T2D	1
HP1508501T2D	8
HP1508501T2D	9
HP1508501T2D	2
HP1508501T2D	4
HP1508501T2D	0
HP1508501T2D	0
HP1508501T2D	1
HP1508501T2D	0
HP1508501T2D	2
HP1508501T2D	0
HP1508501T2D	9
HP1508501T2D	2
HP1508501T2D	4
HP1508501T2D	1
HP1508501T2D	8
HP1508501T2D	1
HP1508501T2D	6
HP1508501T2D	9
HP1508501T2D	1
HP1508501T2D	2
HP1508501T2D	1
HP1508501T2D	5
HP1508501T2D	2
HP1508501T2D	6
HP1508501T2D	6
HP1508501T2D	1
HP1508501T2D	2
HP1508501T2D	0
HP1508501T2D	6
HP1508501T2D	6
HP1508501T2D	1
HP1508501T2D	2
HP1508501T2D	0
HP1508501T2D	0
HP1508501T2D	2
HP1508501T2D	2
HP1508501T2D	8
HP1508501T2D	13
HP1508501T2D	2
HP1508501T2D	1
HP1508501T2D	1
HP1508501T2D	6
HP1508501T2D	13
HP1508501T2D	6
HP1508501T2D	14
HP1508501T2D	0
HP1508501T2D	6
HP1508501T2D	6
HP1508501T2D	6
HP1508501T2D	2
HP1508501T2D	8
HP1508501T2D	0
HP1508501T2D	7
HP1508501T2D	0
HP1508501T2D	1
HP1508501T2D	1
HP1508501T2D	2
HP1508501T2D	8
HP1508501T2D	8
HP1508501T2D	6
HP1508501T2D	6
HP1508501T2D	6
HP1508501T2D	0
HP1508501T2D	6
HP1508501T2D	14
HP1508501T2D	0
HP1508501T2D	6
HP1508501T2D	6
HP1508501T2D	0
HP1508501T2D	0
HP1508501T2D	0
HP1508501T2D	0
HP1508501T2D	6
HP1508501T2D	0
HP1508501T2D	6
HP1508501T2D	13
HP1508501T2D	9
HP1508501T2D	1
HP1508501T2D	1
HP1508501T2D	7
HP1508501T2D	6
HP1508501T2D	0
HP1508501T2D	11
HP1508501T2D	1
HP1508501T2D	2
HP1508501T2D	6
HP1508501T2D	2
HP1508501T2D	0
HP1508501T2D	13
HP1508501T2D	13
HP1508501T2D	1
HP1508501T2D	1
HP1508501T2D	8
HP1508501T2D	5
HP1508501T2D	2
HP1508501T2D	0
HP1508501T2D	2
HP1508501T2D	1
HP1508501T2D	2
HP1508501T2D	0
HP1508501T2D	0
HP1508501T2D	6
HP1508501T2D	1
HP1508501T2D	13
HP1508501T2D	2
HP1508501T2D	7
HP1508501T2D	0
HP1508501T2D	0
HP1508501T2D	8
HP1508501T2D	6
HP1508501T2D	3
HP1508501T2D	0
HP1508501T2D	6
HP1508501T2D	0
HP1508501T2D	6
HP1508501T2D	6
HP1508501T2D	7
HP1508501T2D	14
HP1508501T2D	6
HP1508501T2D	0
HP1508501T2D	12
HP1508501T2D	8
HP1508501T2D	1
HP1508501T2D	6
HP1508501T2D	6
HP1508501T2D	6
HP1508501T2D	6
HP1506401	8
HP1506401	1
HP1506401	9
HP1506401	8
HP1506401	6
HP1506401	2
HP1506401	2
HP1506401	1
HP1506401	6
HP1506401	2
HP1506401	2
HP1506401	8
HP1506401	6
HP1506401	6
HP1506401	2
HP1506401	1
HP1506401	2
HP1506401	2
HP1506401	2
HP1506401	2
HP1506401	2
HP1506401	6
HP1506401	6
HP1506401	2
HP1506401	6
HP1506401	9
HP1506401	9
HP1506401	2
HP1506401	6
HP1506401	2
HP1506401	6
HP1506401	2
HP1506401	2
HP1506401	6
HP1506401	8
HP1506401	2
HP1506401	1
HP1506401	2
HP1506401	6
HP1506401	2
HP1506401	6
HP1506401	2
HP1506401	2
HP1506401	6
HP1506401	2
HP1506401	8
HP1506401	9
HP1506401	2
HP1506401	2
HP1506401	6
HP1506401	2
HP1506401	9
HP1506401	9
HP1506401	2
HP1506401	6
HP1506401	2
HP1506401	2
HP1506401	6
HP1506401	6
HP1506401	2
HP1506401	2
HP1506401	2
HP1506401	2
HP1506401	1
HP1506401	9
HP1506401	2
HP1506401	2
HP1506401	6
HP1506401	2
HP1506401	6
HP1506401	6
HP1506401	6
HP1506401	1
HP1506401	6
HP1506401	6
HP1506401	2
HP1506401	6
HP1506401	8
HP1506401	8
HP1506401	6
HP1506401	6
HP1506401	2
HP1506401	6
HP1506401	2
HP1506401	6
HP1506401	6
HP1506401	9
HP1506401	2
HP1506401	2
HP1506401	6
HP1506401	1
HP1506401	6
HP1506401	2
HP1506401	1
HP1506401	2
HP1506401	8
HP1506401	6
HP1506401	2
HP1506401	6
HP1506401	2
HP1506401	8
HP1506401	6
HP1506401	1
HP1506401	6
HP1506401	6
HP1506401	9
HP1506401	9
HP1506401	6
HP1506401	9
HP1506401	6
HP1506401	1
HP1506401	2
HP1506401	6
HP1506401	9
HP1506401	2
HP1506401	2
HP1506401	9
HP1506401	2
HP1506401	6
HP1506401	2
HP1506401	1
HP1506401	8
HP1506401	6
HP1506401	8
HP1506401	9
HP1506401	2
HP1506401	6
HP1506401	1
HP1506401	6
HP1506401	2
HP1506401	9
HP1506401	2
HP1506401	6
HP1506401	6
HP1506401	8
HP1506401	6
HP1506401	1
HP1506401	8
HP1506401	1
HP1506401	2
HP1506401	9
HP1506401	6
HP1506401	9
HP1506401	2
HP1506401	1
HP1506401	9
HP1506401	9
HP1506401	2
HP1506401	2
HP1506401	9
HP1506401	6
HP1506401	7
HP1506401	2
HP1506401	6
HP1506401	6
HP1506401	2
HP1506401	6
HP1506401	6
HP1506401	2
HP1506401	9
HP1506401	6
HP1506401	1
HP1506401	1
HP1506401	9
HP1506401	2
HP1506401	1
HP1506401	9
HP1506401	9
HP1506401	13
HP1506401	6
HP1506401	2
HP1506401	2
HP1506401	6
HP1506401	2
HP1506401	6
HP1506401	2
HP1506401	9
HP1506401	2
HP1506401	9
HP1506401	2
HP1506401	6
HP1506401	6
HP1506401	9
HP1506401	1
HP1506401	8
HP1506401	1
HP1506401	2
HP1506401	2
HP1506401	2
HP1506401	1
HP1506401	2
HP1506401	9
HP1506401	6
HP1506401	1
HP1506401	2
HP1506401	2
HP1506401	8
HP1506401	10
HP1506401	2
HP1506401	6
HP1506401	6
HP1506401	2
HP1506401	9
HP1506401	1
HP1506401	2
HP1506401	1
HP1506401	6
HP1506401	2
HP1506401	1
HP1506401	2
HP1506401	9
HP1506401	2
HP1506401	6
HP1506401	6
HP1506401	2
HP1506401	2
HP1506401	6
HP1506401	9
HP1506401	9
HP1506401	6
HP1506401	13
HP1506401	2
HP1506401	9
HP1506401	8
HP1506401	6
HP1507101	1
HP1507101	13
HP1507101	1
HP1507101	1
HP1507101	1
HP1507101	1
HP1507101	1
HP1507101	1
HP1507101	1
HP1507101	1
HP1507101	1
HP1507101	1
HP1507101	1
HP1507101	9
HP1507101	6
HP1507101	9
HP1507101	9
HP1507101	1
HP1507101	1
HP1507101	9
HP1507101	6
HP1507101	9
HP1507101	1
HP1507101	1
HP1507101	1
HP1507101	13
HP1507101	1
HP1507101	1
HP1507101	1
HP1507101	9
HP1507101	1
HP1507101	1
HP1507101	1
HP1507101	1
HP1507101	1
HP1507101	1
HP1507101	1
HP1507101	1
HP1507101	1
HP1507101	1
HP1507101	1
HP1507101	1
HP1507101	9
HP1507101	1
HP1507101	9
HP1507101	1
HP1507101	1
HP1507101	1
HP1507101	9
HP1507101	1
HP1507101	9
HP1507101	1
HP1507101	1
HP1507101	1
HP1507101	1
HP1507101	1
HP1507101	1
HP1507101	9
HP1507101	1
HP1507101	9
HP1507101	1
HP1507101	1
HP1507101	2
HP1507101	6
HP1507101	1
HP1507101	1
HP1507101	1
HP1507101	1
HP1507101	1
HP1507101	1
HP1507101	1
HP1507101	1
HP1507101	6
HP1507101	1
HP1507101	1
HP1507101	9
HP1507101	9
HP1507101	1
HP1507101	1
HP1507101	1
HP1507101	1
HP1507101	1
HP1507101	1
HP1507101	1
HP1507101	1
HP1507101	9
HP1507101	1
HP1507101	2
HP1507101	1
HP1507101	9
HP1507101	1
HP1507101	1
HP1507101	1
HP1507101	1
HP1507101	1
HP1507101	1
HP1507101	9
HP1507101	1
HP1507101	9
HP1507101	6
HP1507101	0
HP1507101	1
HP1507101	10
HP1507101	1
HP1507101	1
HP1507101	1
HP1507101	1
HP1507101	9
HP1507101	1
HP1507101	1
HP1507101	9
HP1507101	1
HP1507101	1
HP1507101	9
HP1507101	1
HP1507101	9
HP1507101	1
HP1507101	1
HP1507101	1
HP1507101	13
HP1507101	6
HP1507101	5
HP1507101	1
HP1507101	1
HP1507101	1
HP1507101	9
HP1507101	1
HP1507101	1
HP1507101	9
HP1507101	9
HP1507101	9
HP1507101	1
HP1507101	9
HP1507101	1
HP1507101	1
HP1507101	1
HP1507101	1
HP1507101	1
HP1507101	1
HP1507101	1
HP1507101	9
HP1507101	6
HP1507101	1
HP1507101	1
HP1507101	9
HP1507101	11
HP1507101	1
HP1507101	1
HP1507101	1
HP1507101	9
HP1507101	1
HP1507101	1
HP1507101	8
HP1507101	1
HP1507101	9
HP1507101	9
HP1507101	13
HP1507101	2
HP1507101	1
HP1507101	1
HP1507101	1
HP1507101	1
HP1507101	6
HP1507101	9
HP1507101	1
HP1507101	9
HP1507101	1
HP1507101	13
HP1507101	1
HP1507101	1
HP1507101	1
HP1507101	1
HP1507101	0
HP1507101	1
HP1507101	1
HP1507101	1
HP1507101	1
HP1507101	1
HP1507101	9
HP1507101	1
HP1507101	1
HP1507101	9
HP1507101	1
HP1507101	9
HP1507101	9
HP1507101	1
HP1507101	8
HP1507101	1
HP1507101	1
HP1507101	1
HP1507101	1
HP1507101	9
HP1507101	1
HP1507101	13
HP1507101	13
HP1507101	9
HP1507101	1
HP1509101	6
HP1509101	1
HP1509101	9
HP1509101	1
HP1509101	6
HP1509101	13
HP1509101	6
HP1509101	9
HP1509101	1
HP1509101	9
HP1509101	1
HP1509101	1
HP1509101	6
HP1509101	1
HP1509101	1
HP1509101	9
HP1509101	2
HP1509101	6
HP1509101	6
HP1509101	6
HP1509101	11
HP1509101	1
HP1509101	3
HP1509101	1
HP1509101	1
HP1509101	9
HP1509101	1
HP1509101	6
HP1509101	9
HP1509101	1
HP1509101	1
HP1509101	6
HP1509101	1
HP1509101	1
HP1509101	9
HP1509101	1
HP1509101	1
HP1509101	13
HP1509101	1
HP1509101	1
HP1509101	6
HP1509101	6
HP1509101	6
HP1509101	1
HP1509101	9
HP1509101	8
HP1509101	9
HP1509101	1
HP1509101	1
HP1509101	1
HP1509101	1
HP1509101	1
HP1509101	9
HP1509101	1
HP1509101	1
HP1509101	1
HP1509101	13
HP1509101	3
HP1509101	1
HP1509101	1
HP1509101	9
HP1509101	1
HP1509101	1
HP1509101	6
HP1509101	6
HP1509101	6
HP1509101	6
HP1509101	1
HP1509101	6
HP1509101	1
HP1509101	9
HP1509101	9
HP1509101	1
HP1509101	9
HP1509101	6
HP1509101	4
HP1509101	9
HP1509101	13
HP1509101	1
HP1509101	6
HP1509101	9
HP1509101	4
HP1509101	9
HP1509101	1
HP1509101	6
HP1509101	1
HP1509101	9
HP1509101	1
HP1509101	6
HP1509101	13
HP1509101	6
HP1509101	9
HP1509101	1
HP1509101	1
HP1509101	9
HP1504901	5
HP1504901	7
HP1504901	11
HP1504901	7
HP1504901	11
HP1504901	11
HP1504901	13
HP1504901	7
HP1504901	5
HP1504901	7
HP1504901	5
HP1504901	11
HP1504901	11
HP1504901	14
HP1504901	5
HP1504901	11
HP1504901	5
HP1504901	7
HP1504901	5
HP1504901	7
HP1504901	7
HP1504901	7
HP1504901	5
HP1504901	5
HP1504901	14
HP1504901	5
HP1504901	7
HP1504901	11
HP1504901	14
HP1504901	5
HP1504901	14
HP1504901	5
HP1504901	11
HP1504901	7
HP1504901	7
HP1504901	5
HP1504901	7
HP1504901	5
HP1504901	5
HP1504901	11
HP1504901	5
HP1504901	7
HP1504901	7
HP1504901	11
HP1504901	7
HP1504901	7
HP1504901	7
HP1504901	7
HP1504901	11
HP1504901	7
HP1504901	5
HP1504901	5
HP1504901	11
HP1504901	5
HP1504901	11
HP1504901	14
HP1504901	7
HP1504901	5
HP1504901	13
HP1504901	11
HP1504901	14
HP1504901	7
HP1504901	5
HP1504901	7
HP1504901	5
HP1504901	13
HP1504901	7
HP1504901	14
HP1504901	5
HP1504901	7
HP1504901	5
HP1504901	5
HP1504901	11
HP1504901	5
HP1504901	7
HP1504901	7
HP1504901	5
HP1504901	13
HP1504901	5
HP1504901	13
HP1504901	5
HP1504901	5
HP1504901	13
HP1504901	13
HP1504901	5
HP1504901	13
HP1504901	13
HP1504901	5
HP1504901	7
HP1504901	11
HP1504901	13
HP1504901	7
HP1504901	11
HP1504901	5
HP1504901	5
HP1504901	14
HP1504901	5
HP1504901	5
HP1504901	5
HP1504901	5
HP1504901	7
HP1504901	7
HP1504901	13
HP1504901	13
HP1504901	7
HP1504901	7
HP1504901	14
HP1504901	11
HP1504901	5
HP1504901	11
HP1504901	11
HP1504901	5
HP1504901	5
HP1504901	14
HP1504901	11
HP1504901	11
HP1504901	5
HP1504901	8
HP1504901	7
HP1504901	8
HP1504901	11
HP1504901	11
HP1504901	5
HP1504901	5
HP1504901	13
HP1504901	5
HP1504901	5
HP1504901	5
HP1504901	5
HP1504901	5
HP1504901	13
HP1504901	11
HP1504901	11
HP1504901	7
HP1504901	5
HP1504901	0
HP1504901	5
HP1504901	7
HP1504901	14
HP1504901	5
HP1504901	13
HP1504901	5
HP1504901	5
HP1504901	5
HP1504901	5
HP1504901	14
HP1504901	5
HP1504901	7
HP1504901	11
HP1504901	5
HP1504901	5
HP1504901	5
HP1504901	5
HP1504901	3
HP1504901	11
HP1504901	5
HP1504901	5
HP1504901	5
HP1504901	14
HP1504901	5
HP1504901	5
HP1504901	5
HP1504901	14
HP1504901	11
HP1504901	5
HP1504901	5
HP1504901	5
HP1504901	11
HP1504901	7
HP1504901	7
HP1504901	11
HP1504901	5
HP1504901	5
HP1504901	5
HP1504901	7
HP1504901	5
HP1504901	5
HP1504901	7
HP1504901	5
HP1504901	7
HP1504901	7
HP1504901	7
HP1504901	5
HP1504901	14
HP1504901	5
HP1504901	5
HP1504901	14
HP1504901	5
HP1504901	7
HP1504901	7
HP1504901	5
HP1504901	7
HP1504901	7
HP1504901	3
HP1504901	11
HP1504901	5
HP1504901	5
HP1504901	11
HP1504901	11
HP1504901	7
HP1504901	11
HP1504901	13
HP1504901	5
HP1504901	5
HP1504901	13
HP1504901	11
HP1504901	11
HP1504901	5
HP1525301T2D	4
HP1525301T2D	3
HP1525301T2D	10
HP1526901T2D	10
HP1525301T2D	3
HP1525301T2D	3
HP1508501T2D	8
HP1525301T2D	3
HP1525301T2D	13
HP1525301T2D	4
HP1525301T2D	4
HP1525301T2D	13
HP1525301T2D	4
HP1526901T2D	10
HP1526901T2D	10
HP1525301T2D	3
